1,"Rank  Language ",type,status
2,"Python",oop,run
21,"Scala",hybrid,run
3,"Java",oop,run
5,"Ccharp",oop,stop
6,"C",procedural,stop
7,"CPP",oop,stop
17,"Ruby",oop,stop
18,"Rust",el,run
27,"Cobol",procedual,stop
28,"Perl",oop,stop
8,"PHP",oop,stop
12,"Kotlin",oop,run
16,"VBA",procedual,stop
4,"JavaScript",oop,run
9,"R",?,down
10,"Objective-C",?,down
11,"TypeScript",hybrid,down
13,"Swift",oop,down
14,"Matlab",?,run
15,"Go",procedural,down
19,"Ada",?,down
20,"Visual Basic",procedural,stop
22,"Abap",?,down
23,"Dart",?,down
24,"Lua",?,down
25,"Julia",?,down
26,"Groovy",?,down
29,"Delphi/Pascal",procedural,down
30,"Haskell",?,down